2026-06-28 01:07:42 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-28 01:07:42 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-28 01:07:42 | DMS | INFO | Starting calibration process...
2026-06-28 01:08:00 | DMS | INFO | ✅ Calibration complete for driver: driver_1782634065
2026-06-28 01:08:00 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-28 01:08:56 | DMS | INFO | Received signal 2, shutting down...
2026-06-28 01:08:56 | DMS | INFO | Shutting down system...
2026-06-28 01:08:56 | DMS | INFO | Saving profile for driver: driver_1782634065
2026-06-28 01:08:56 | DMS | INFO | ============================================================
2026-06-28 01:08:56 | DMS | INFO | System Statistics:
2026-06-28 01:08:56 | DMS | INFO |   - Total frames processed: 1615
2026-06-28 01:08:56 | DMS | INFO |   - Average processing time: 24.6ms
2026-06-28 01:08:56 | DMS | INFO |   - Calibrated: True
2026-06-28 01:08:56 | DMS | INFO | ============================================================
2026-06-28 01:08:56 | DMS | INFO | ✅ System shutdown complete
2026-06-28 05:00:30 | DMS | INFO | ============================================================
2026-06-28 05:00:30 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-28 05:00:30 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-28 05:00:30 | DMS | INFO | ============================================================
2026-06-28 05:00:30 | DMS | INFO | Initializing detection components...
2026-06-28 05:00:36 | DMS | INFO | Initializing calibration components...
2026-06-28 05:00:36 | DMS | INFO | Initializing driver selection...
2026-06-28 05:00:36 | DMS | INFO | Initializing feature analyzers...
2026-06-28 05:00:36 | DMS | INFO | Initializing signal processing...
2026-06-28 05:00:36 | DMS | INFO | Initializing alert system...
2026-06-28 05:00:36 | DMS | INFO | ✅ All components initialized successfully!
2026-06-28 05:00:36 | DMS | INFO | Initializing camera...
2026-06-28 05:01:32 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-28 05:01:32 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-28 05:01:32 | DMS | INFO | Starting calibration process...
2026-06-28 05:01:49 | DMS | INFO | ✅ Calibration complete for driver: driver_1782648094
2026-06-28 05:01:49 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-28 05:03:13 | DMS | INFO | Received signal 2, shutting down...
2026-06-28 05:03:13 | DMS | INFO | Shutting down system...
2026-06-28 05:03:13 | DMS | INFO | Saving profile for driver: driver_1782648094
2026-06-28 05:03:13 | DMS | INFO | ============================================================
2026-06-28 05:03:13 | DMS | INFO | System Statistics:
2026-06-28 05:03:13 | DMS | INFO |   - Total frames processed: 2302
2026-06-28 05:03:13 | DMS | INFO |   - Average processing time: 25.5ms
2026-06-28 05:03:13 | DMS | INFO |   - Calibrated: True
2026-06-28 05:03:13 | DMS | INFO | ============================================================
2026-06-28 05:03:13 | DMS | INFO | ✅ System shutdown complete
2026-06-28 05:10:31 | DMS | INFO | ============================================================
2026-06-28 05:10:31 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-28 05:10:31 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-28 05:10:31 | DMS | INFO | ============================================================
2026-06-28 05:10:31 | DMS | INFO | Initializing detection components...
2026-06-28 05:10:39 | DMS | INFO | Initializing calibration components...
2026-06-28 05:10:39 | DMS | INFO | Initializing driver selection...
2026-06-28 05:10:39 | DMS | INFO | Initializing feature analyzers...
2026-06-28 05:10:39 | DMS | INFO | Initializing signal processing...
2026-06-28 05:10:39 | DMS | INFO | Initializing alert system...
2026-06-28 05:10:39 | DMS | INFO | ✅ All components initialized successfully!
2026-06-28 05:10:39 | DMS | INFO | Initializing camera...
2026-06-28 05:11:38 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-28 05:11:38 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-28 05:11:38 | DMS | INFO | Starting calibration process...
2026-06-28 05:12:21 | DMS | INFO | ✅ Calibration complete for driver: driver_1782648726
2026-06-28 05:12:21 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-28 05:12:39 | DMS | INFO | Received signal 2, shutting down...
2026-06-28 05:12:39 | DMS | INFO | Shutting down system...
2026-06-28 05:12:39 | DMS | INFO | Saving profile for driver: driver_1782648726
2026-06-28 05:12:39 | DMS | INFO | ============================================================
2026-06-28 05:12:39 | DMS | INFO | System Statistics:
2026-06-28 05:12:39 | DMS | INFO |   - Total frames processed: 514
2026-06-28 05:12:39 | DMS | INFO |   - Average processing time: 27.8ms
2026-06-28 05:12:39 | DMS | INFO |   - Calibrated: True
2026-06-28 05:12:39 | DMS | INFO | ============================================================
2026-06-28 05:12:39 | DMS | INFO | ✅ System shutdown complete
